,Vegetarian options,Outdoor seating,Friendly and attentive service,Overpriced for portion/quality,Creative or unique menu items,Casual and relaxed atmosphere,Cleanliness and hygiene,Kid-friendly environment,Quick food service,Generous portion sizes,Gluten-free options,Lively or vibrant vibe,Memorable signature dishes,Good value for money,High food quality (taste/freshness),Diverse menu options,Parking availability,Comfortable for working or studying,Wait times during peak hours,Good drink or cocktail selection
MTSW4McQd7CbVtyjqoe9mw,0.19178104,0.09747058,0.19037285,0.26432848,0.14098349,0.13191861,0.072552145,0.085498914,0.27784282,0.20204744,0.14644274,0.119220145,0.23513328,0.16491063,0.3347481,0.077432856,0.107900366,-0.00051549077,0.051114,0.240203
MUTTqe8uqyMdBl186RmNeA,0.18105644,0.11782454,0.2122389,0.22392768,0.2264571,0.15958536,0.14118601,0.12973057,0.3819062,0.13122907,0.100068204,0.10593935,0.2929565,0.13304248,0.36134523,0.16759539,0.079004295,-0.034097582,0.22786918,0.257346
ROeacJQwBeh05Rqg7F6TCg,0.29631868,0.13855302,0.21780513,0.38725197,0.32778284,0.15215005,0.09432858,0.1044815,0.3705668,0.23984452,0.18464024,0.16560768,0.33201575,0.27264595,0.3943802,0.20022039,0.10522571,-0.020297263,0.058232836,0.36883378
QdN72BWoyFypdGJhhI5r7g,0.1732217,0.121138185,0.30437732,0.25237268,0.32208413,0.23570746,0.10938534,0.13506456,0.3706072,0.12170333,0.15814298,0.30829155,0.39847356,0.104830116,0.41489258,0.20632622,0.04692686,0.03451123,0.046605397,0.39479333
aPNXGTDkf-4bjhyMBQxqpQ,0.23064859,0.26867315,0.26223767,0.29665354,0.33600333,0.17582992,0.13924403,0.2849244,0.40619686,0.22093812,0.1990486,0.09984798,0.3060485,0.11095153,0.36974564,0.2390265,0.13152152,-0.028784005,0.029782292,0.25661495
ppFCk9aQkM338Rgwpl2F5A,0.0829397,0.19272318,0.22161101,0.15396643,0.044550404,0.06958891,0.11432025,0.0627959,0.36959857,0.13530754,0.13015236,0.0439559,0.1800526,0.09278263,0.17868212,0.06860628,0.14586043,0.044078864,0.24612266,0.17758897
3BJxm-HnvzdwD1zjmSbmyQ,0.21147114,0.0353065,0.13192883,0.30311206,0.15290347,0.056717947,0.030560654,0.012366765,0.27153102,0.19203086,0.14944625,0.08156938,0.23621714,0.25751066,0.4235571,0.10237196,-0.10303404,-0.032310948,-0.04915042,0.19455159
WYYdQDjx-DsCanlP0DpImQ,0.32950366,0.10660001,0.18756403,0.2617728,0.24479493,0.1432402,0.0897193,0.048031658,0.33649564,0.2047025,0.27304965,0.08926532,0.3363334,0.059730683,0.39689377,0.23757531,0.021098986,0.016468951,0.094299324,0.27483723
bTve2mwLk5Zc01vRKqc2KQ,0.2688556,0.16764194,0.3448565,0.26020935,0.2320826,0.25098687,0.10434368,0.16382895,0.37150508,0.1653977,0.41834658,0.23909849,0.22524926,0.12838306,0.43619436,0.2531726,0.16229469,0.063960046,0.121642336,0.4561633
_T0cPZE2ZJOTTlYYKMP64Q,0.32513613,0.107158855,0.18333957,0.25587535,0.2850921,0.14148787,0.10084228,0.054739527,0.32454324,0.18103208,0.19118118,0.14743252,0.28466374,0.10336903,0.4114082,0.23409729,0.044516698,-0.021730363,0.11046384,0.27782345
VbItL6RDULtnw4YvB6EhVg,0.14726259,0.19536339,0.2508301,0.25289175,0.20087492,0.16465025,0.15503049,0.20852706,0.30489028,0.13181713,0.10076268,0.16598617,0.24148047,0.20082444,0.31090724,0.15500951,0.23530479,0.0035552308,0.045813553,0.22682811
0CEUpFtaKhxbmrbSdP9MUQ,0.22914058,0.2428795,0.30336264,0.23205264,0.23614912,0.19481102,0.14982392,0.17822239,0.42539993,0.16236284,0.15327439,0.12451504,0.31082544,0.09372493,0.3724264,0.2419268,0.14577186,-0.016359359,0.05713172,0.26216903
dChRGpit9fM_kZK5pafNyA,0.2431876,0.13948801,0.24758726,0.31749254,0.29745755,0.15407589,0.1776365,0.14484811,0.38216746,0.18068995,0.17920214,0.20966691,0.35595834,0.115957454,0.42760834,0.27144796,0.067056604,-0.0077215955,-0.018260239,0.29281127
QWqKTWQ2OiDgo3dzNkpung,0.42123273,0.06870393,0.20217061,0.1850245,0.22006656,0.21360143,0.12028038,0.12253435,0.3329385,0.1352366,0.17518023,0.14613625,0.2500295,0.12598518,0.43356147,0.2112054,-0.030990977,0.053548105,0.08135584,0.31869537
7mpYTDb24SywNMRn3yeakQ,0.29797658,0.15421945,0.3897212,0.2555822,0.2574817,0.2207413,0.040383957,0.10071553,0.44931284,0.12674618,0.21862403,0.25307953,0.3153416,0.10025495,0.3728226,0.20856836,0.10995751,0.046746872,0.056212947,0.27472052
5iuo1kvv0XZMS0bUOoLz2Q,0.2946308,0.18084921,0.2603012,0.22727467,0.21907976,0.21481338,0.10214282,0.17303672,0.27178752,0.17344704,0.20559992,0.18539429,0.287663,0.09105243,0.3444957,0.22581264,0.07933604,-0.045413554,0.040768486,0.2925647
bchZXVE4feVx4Q5rhIRCGg,0.1887508,0.051613826,0.20898,0.21646264,0.21496549,0.08961153,0.10812253,0.028561447,0.30312404,0.1628657,0.25815433,0.045697473,0.15925236,0.07280631,0.30031353,0.16952106,0.05576076,0.0008660909,0.04099221,0.20985474
ngvE1G9IckUO-ljZBFo23w,0.2929533,0.16647488,0.1832837,0.23517488,0.16172276,0.18632033,0.12658331,0.029108502,0.37456912,0.17254154,0.17147978,0.10884958,0.27528507,0.13765648,0.4475387,0.21624206,0.014867384,0.029927425,0.14223677,0.29625523
46_2e1hnQ4csLrYnhn6bkw,0.17022246,0.21049897,0.27895334,0.20886546,0.23885977,0.27655855,0.24604943,0.22725962,0.27048606,0.186566,0.17158574,0.2134798,0.35330945,0.044148244,0.35532016,0.19030195,0.07714966,0.077434435,0.07569568,0.40598628
TGfPJHImEq6AQL9a1laxlg,0.07994217,0.06317231,0.32191652,0.19129416,0.1966226,0.013610445,0.19571903,0.04617764,0.46409068,0.19594833,0.098888844,-0.011585102,0.22133951,0.020159218,0.25552747,0.11630868,0.14702262,-0.076324694,0.10418719,0.20165703
